Method,Size,Dataset,Metric,Statistic,p-value,Significant
CSC,200,state_of_the_union,precision_omega_scores,730.0,0.02520388904489458,True
CSC,200,state_of_the_union,iou_scores,1091.0,0.37529124163516536,False
CSC,200,state_of_the_union,recall_scores,251.5,0.053221395314954074,False
CSC,200,state_of_the_union,precision_scores,1074.0,0.32408759032064105,False
CSC,200,wikitexts,precision_omega_scores,1741.0,0.003116766746999679,True
CSC,200,wikitexts,iou_scores,2301.0,5.459773025808482e-06,True
CSC,200,wikitexts,recall_scores,901.5,0.5988127810258512,False
CSC,200,wikitexts,precision_scores,2282.0,4.42295527366981e-06,True
CSC,200,finance,precision_omega_scores,895.0,0.12746336120347873,False
CSC,200,finance,iou_scores,723.0,7.723939789993862e-05,True
CSC,200,finance,recall_scores,177.5,0.7810531301494871,False
CSC,200,finance,precision_scores,718.0,6.944030185810088e-05,True
CSC,200,chatlogs,precision_omega_scores,287.0,0.06295283138499941,False
CSC,200,chatlogs,iou_scores,452.0,0.00771307619380144,True
CSC,200,chatlogs,recall_scores,26.5,0.5631248881280981,False
CSC,200,chatlogs,precision_scores,452.0,0.00771307619380144,True
CSC,200,pubmed,precision_omega_scores,1271.0,0.06667247931616074,False
CSC,200,pubmed,iou_scores,1016.0,0.1332994469585519,False
CSC,200,pubmed,recall_scores,159.5,0.018130219175356947,True
CSC,200,pubmed,precision_scores,984.0,0.09207122812331876,False
CSC,400,state_of_the_union,precision_omega_scores,1011.0,0.08906011177415922,False
CSC,400,state_of_the_union,iou_scores,574.0,0.0004165741366572352,True
CSC,400,state_of_the_union,recall_scores,125.0,0.0018027112626697588,True
CSC,400,state_of_the_union,precision_scores,557.0,0.0002773905108188351,True
CSC,400,wikitexts,precision_omega_scores,2523.0,0.0011299036485994851,True
CSC,400,wikitexts,iou_scores,759.0,2.9663866282625827e-15,True
CSC,400,wikitexts,recall_scores,541.0,0.8076692447045387,False
CSC,400,wikitexts,precision_scores,749.0,2.4397600331346974e-15,True
CSC,400,finance,precision_omega_scores,1662.0,0.16359181162561187,False
CSC,400,finance,iou_scores,772.0,7.85596231190936e-05,True
CSC,400,finance,recall_scores,195.0,0.2924030075309604,False
CSC,400,finance,precision_scores,770.0,7.541362728946221e-05,True
CSC,400,chatlogs,precision_omega_scores,530.0,0.5519239429703,False
CSC,400,chatlogs,iou_scores,380.0,0.0006504360374439713,True
CSC,400,chatlogs,recall_scores,9.0,0.39802471950693785,False
CSC,400,chatlogs,precision_scores,378.0,0.0006125957201813042,True
CSC,400,pubmed,precision_omega_scores,1195.0,0.0023416377410060397,True
CSC,400,pubmed,iou_scores,1208.0,0.13616204684316255,False
CSC,400,pubmed,recall_scores,168.0,0.0010620190471926849,True
CSC,400,pubmed,precision_scores,1172.0,0.0943223017335514,False
CSC,600,state_of_the_union,precision_omega_scores,1259.0,0.6149390475332173,False
CSC,600,state_of_the_union,iou_scores,731.0,0.00275895667764873,True
CSC,600,state_of_the_union,recall_scores,186.0,0.004240994613401914,True
CSC,600,state_of_the_union,precision_scores,718.0,0.002144390954998793,True
CSC,600,wikitexts,precision_omega_scores,1602.0,1.5194244036806717e-05,True
CSC,600,wikitexts,iou_scores,1236.0,2.9062229367568025e-13,True
CSC,600,wikitexts,recall_scores,351.0,0.05973171594122867,False
CSC,600,wikitexts,precision_scores,1232.0,2.7204699216944836e-13,True
CSC,600,finance,precision_omega_scores,1184.0,0.0005118917090102445,True
CSC,600,finance,iou_scores,662.0,0.0011081848103220767,True
CSC,600,finance,recall_scores,108.0,0.12471324543940547,False
CSC,600,finance,precision_scores,659.0,0.0010400887808732376,True
CSC,600,chatlogs,precision_omega_scores,385.0,0.000754754105706784,True
CSC,600,chatlogs,iou_scores,164.0,2.3210852705924888e-07,True
CSC,600,chatlogs,recall_scores,3.5,0.5807121621890252,False
CSC,600,chatlogs,precision_scores,164.0,2.3210852705924888e-07,True
